Jensen et al. Temporal disease trajectories condensed from population-wide registry data covering 6.2 million patients,,,,,,,,,,,,,,,,
Supplementary Data 2 | Trajectory counting,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Median age at ,,,,,Count,time 1->2,,,Count,time ->3,,,Count,time ->4
Cluster,Trajectory id,start (years),Diagnose 1,,Diagnose 2,,1->2,(months),Diagnose 3,,1->2->3,(months),Diagnose 4,,1->...->3,(months)
COPD,E11_A46_L97_E86,64.9,E11,Non-insulin-dependent diabetes mellitus,A46,Erysipelas,5769,43.11,L97,"Ulcer of lower limb, not elsewhere classified",692,64.09,E86,Volume depletion,50,93.09
COPD,E11_A46_L97_J96,64.9,E11,Non-insulin-dependent diabetes mellitus,A46,Erysipelas,5769,43.11,L97,"Ulcer of lower limb, not elsewhere classified",692,64.09,J96,"Respiratory failure, not elsewhere classified",56,91.79
COPD,E11_I70_J44_A09,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,J44,Other chronic obstructive pulmonary disease,953,73.83,A09,Diarrhoea and gastroenteritis of presumed infectious origin,23,91.49
COPD,E11_I70_J44_A46,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,J44,Other chronic obstructive pulmonary disease,953,73.83,A46,Erysipelas,43,99.73
COPD,E11_I70_J44_E87,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,J44,Other chronic obstructive pulmonary disease,953,73.83,E87,"Other disorders of fluid, electrolyte and acid-base balance",52,96.27
COPD,E11_I70_J44_I27,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,J44,Other chronic obstructive pulmonary disease,953,73.83,I27,Other pulmonary heart diseases,22,89.74
COPD,E11_I70_J44_J15,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,J44,Other chronic obstructive pulmonary disease,953,73.83,J15,"Bacterial pneumonia, not elsewhere classified",67,93.77
COPD,E11_I70_J44_J42,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,J44,Other chronic obstructive pulmonary disease,953,73.83,J42,Unspecified chronic bronchitis,54,94.48
COPD,E11_I70_J44_J96,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,J44,Other chronic obstructive pulmonary disease,953,73.83,J96,"Respiratory failure, not elsewhere classified",125,90.18
COPD,E11_I70_J44_K59,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,J44,Other chronic obstructive pulmonary disease,953,73.83,K59,Other functional intestinal disorders,56,92.79
COPD,E11_I70_J44_M81,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,J44,Other chronic obstructive pulmonary disease,953,73.83,M81,Osteoporosis without pathological fracture,31,91.25
COPD,E11_I70_J44_N30,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,J44,Other chronic obstructive pulmonary disease,953,73.83,N30,Cystitis,86,95.89
COPD,E11_I70_L97_E86,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,L97,"Ulcer of lower limb, not elsewhere classified",2035,60.52,E86,Volume depletion,167,87.81
COPD,E11_I70_L97_J15,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,L97,"Ulcer of lower limb, not elsewhere classified",2035,60.52,J15,"Bacterial pneumonia, not elsewhere classified",85,92.48
COPD,E11_I70_L97_J96,68.86,E11,Non-insulin-dependent diabetes mellitus,I70,Atherosclerosis,13736,40.25,L97,"Ulcer of lower limb, not elsewhere classified",2035,60.52,J96,"Respiratory failure, not elsewhere classified",85,85.79
COPD,F10_J44_A46_A41,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,A46,Erysipelas,280,78.07,A41,Other septicaemia,22,93.65
COPD,F10_J44_A46_E86,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,A46,Erysipelas,280,78.07,E86,Volume depletion,22,102.15
COPD,F10_J44_A46_J96,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,A46,Erysipelas,280,78.07,J96,"Respiratory failure, not elsewhere classified",37,94.98
COPD,F10_J44_J41_J15,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,J41,Simple and mucopurulent chronic bronchitis,180,70.08,J15,"Bacterial pneumonia, not elsewhere classified",26,93.61
COPD,F10_J44_J41_J96,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,J41,Simple and mucopurulent chronic bronchitis,180,70.08,J96,"Respiratory failure, not elsewhere classified",44,96.45
COPD,F10_J44_J42_A41,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,J42,Unspecified chronic bronchitis,590,70.08,A41,Other septicaemia,39,90.09
COPD,F10_J44_J42_A46,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,J42,Unspecified chronic bronchitis,590,70.08,A46,Erysipelas,22,90.41
COPD,F10_J44_J42_E86,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,J42,Unspecified chronic bronchitis,590,70.08,E86,Volume depletion,48,108.05
COPD,F10_J44_J42_E87,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,J42,Unspecified chronic bronchitis,590,70.08,E87,"Other disorders of fluid, electrolyte and acid-base balance",35,96.93
COPD,F10_J44_J42_J15,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,J42,Unspecified chronic bronchitis,590,70.08,J15,"Bacterial pneumonia, not elsewhere classified",53,96.29
COPD,F10_J44_J42_J96,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,J42,Unspecified chronic bronchitis,590,70.08,J96,"Respiratory failure, not elsewhere classified",119,95.53
COPD,F10_J44_J42_K59,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,J42,Unspecified chronic bronchitis,590,70.08,K59,Other functional intestinal disorders,30,105.93
COPD,F10_J44_J42_M80,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,J42,Unspecified chronic bronchitis,590,70.08,M80,Osteoporosis with pathological fracture,25,88.9
COPD,F10_J44_J42_M81,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,J42,Unspecified chronic bronchitis,590,70.08,M81,Osteoporosis without pathological fracture,35,99.29
COPD,F10_J44_J42_N30,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,J42,Unspecified chronic bronchitis,590,70.08,N30,Cystitis,47,96.24
COPD,F10_J44_K59_A41,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,K59,Other functional intestinal disorders,405,78.04,A41,Other septicaemia,29,104.58
COPD,F10_J44_K59_J15,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,K59,Other functional intestinal disorders,405,78.04,J15,"Bacterial pneumonia, not elsewhere classified",32,108.45
COPD,F10_J44_K59_J96,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,K59,Other functional intestinal disorders,405,78.04,J96,"Respiratory failure, not elsewhere classified",56,103.39
COPD,F10_J44_M80_E86,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,M80,Osteoporosis with pathological fracture,243,75.46,E86,Volume depletion,29,92.14
COPD,F10_J44_M80_J15,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,M80,Osteoporosis with pathological fracture,243,75.46,J15,"Bacterial pneumonia, not elsewhere classified",29,97.46
COPD,F10_J44_M80_J96,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,M80,Osteoporosis with pathological fracture,243,75.46,J96,"Respiratory failure, not elsewhere classified",29,98.3
COPD,F10_J44_M81_A41,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,M81,Osteoporosis without pathological fracture,437,79.37,A41,Other septicaemia,25,91.8
COPD,F10_J44_M81_E86,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,M81,Osteoporosis without pathological fracture,437,79.37,E86,Volume depletion,34,93.33
COPD,F10_J44_M81_E87,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,M81,Osteoporosis without pathological fracture,437,79.37,E87,"Other disorders of fluid, electrolyte and acid-base balance",26,96.47
COPD,F10_J44_M81_J15,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,M81,Osteoporosis without pathological fracture,437,79.37,J15,"Bacterial pneumonia, not elsewhere classified",36,95.4
COPD,F10_J44_M81_J96,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,M81,Osteoporosis without pathological fracture,437,79.37,J96,"Respiratory failure, not elsewhere classified",57,94.75
COPD,F10_J44_N30_A41,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,N30,Cystitis,621,73.39,A41,Other septicaemia,54,88
COPD,F10_J44_N30_J15,58.51,F10,Mental and behavioural disorders due to use of alcohol,J44,Other chronic obstructive pulmonary disease,9314,46.82,N30,Cystitis,621,73.39,J15,"Bacterial pneumonia, not elsewhere classified",72,92.18
COPD,F10_K70_N30_A41,52.52,F10,Mental and behavioural disorders due to use of alcohol,K70,Alcoholic liver disease,12268,31.21,N30,Cystitis,760,59.26,A41,Other septicaemia,115,73.11
COPD,F10_K70_N30_J15,52.52,F10,Mental and behavioural disorders due to use of alcohol,K70,Alcoholic liver disease,12268,31.21,N30,Cystitis,760,59.26,J15,"Bacterial pneumonia, not elsewhere classified",60,73.4
COPD,I20_I70_J44_A09,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,A09,Diarrhoea and gastroenteritis of presumed infectious origin,30,110.2
COPD,I20_I70_J44_A46,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,A46,Erysipelas,51,113.35
COPD,I20_I70_J44_E87,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,E87,"Other disorders of fluid, electrolyte and acid-base balance",65,107.32
COPD,I20_I70_J44_I27,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,I27,Other pulmonary heart diseases,31,103.17
COPD,I20_I70_J44_J15,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,J15,"Bacterial pneumonia, not elsewhere classified",129,103.23
COPD,I20_I70_J44_J22,67.77,I20,Angina pectoris,I70,Atherosclerosis,15067,46.18,J44,Other chronic obstructive pulmonary disease,1371,82.7,J22,Unspecified acute lower respiratory infection,29,109.13
